city,state,year,month,period,date,unemployment_rate
Phoenix,AZ,2005,1,January_2005,1/31/2005,5.2
Phoenix,AZ,2005,2,February_2005,2/28/2005,5
Phoenix,AZ,2005,3,March_2005,3/31/2005,5
Phoenix,AZ,2005,4,April_2005,4/30/2005,4.8
Phoenix,AZ,2005,5,May_2005,5/31/2005,4.5
Phoenix,AZ,2005,6,June_2005,6/30/2005,4.9
Phoenix,AZ,2005,7,July_2005,7/31/2005,4.8
Phoenix,AZ,2005,8,August_2005,8/31/2005,4.9
Phoenix,AZ,2005,9,September_2005,9/30/2005,4.9
Phoenix,AZ,2005,10,October_2005,10/31/2005,4.6
Phoenix,AZ,2005,11,November_2005,11/30/2005,4.6
Phoenix,AZ,2005,12,December_2005,12/31/2005,4.3
Phoenix,AZ,2006,1,January_2006,1/31/2006,4.7
Phoenix,AZ,2006,2,February_2006,2/28/2006,4.6
Phoenix,AZ,2006,3,March_2006,3/31/2006,4.4
Phoenix,AZ,2006,4,April_2006,4/30/2006,4.3
Phoenix,AZ,2006,5,May_2006,5/31/2006,3.9
Phoenix,AZ,2006,6,June_2006,6/30/2006,4.5
Phoenix,AZ,2006,7,July_2006,7/31/2006,4.4
Phoenix,AZ,2006,8,August_2006,8/31/2006,4.4
Phoenix,AZ,2006,9,September_2006,9/30/2006,4.3
Phoenix,AZ,2006,10,October_2006,10/31/2006,3.9
Phoenix,AZ,2006,11,November_2006,11/30/2006,3.8
Phoenix,AZ,2006,12,December_2006,12/31/2006,3.7
Phoenix,AZ,2007,1,January_2007,1/31/2007,4.2
Phoenix,AZ,2007,2,February_2007,2/28/2007,3.8
Phoenix,AZ,2007,3,March_2007,3/31/2007,3.7
Phoenix,AZ,2007,4,April_2007,4/30/2007,3.5
Phoenix,AZ,2007,5,May_2007,5/31/2007,3.2
Phoenix,AZ,2007,6,June_2007,6/30/2007,3.8
Phoenix,AZ,2007,7,July_2007,7/31/2007,3.8
Phoenix,AZ,2007,8,August_2007,8/31/2007,3.9
Phoenix,AZ,2007,9,September_2007,9/30/2007,3.9
Phoenix,AZ,2007,10,October_2007,10/31/2007,4
Phoenix,AZ,2007,11,November_2007,11/30/2007,4.1
Phoenix,AZ,2007,12,December_2007,12/31/2007,4.3
Phoenix,AZ,2008,1,January_2008,1/31/2008,4.8
Phoenix,AZ,2008,2,February_2008,2/29/2008,4.6
Phoenix,AZ,2008,3,March_2008,3/31/2008,4.9
Phoenix,AZ,2008,4,April_2008,4/30/2008,4.8
Phoenix,AZ,2008,5,May_2008,5/31/2008,5.3
Phoenix,AZ,2008,6,June_2008,6/30/2008,6.3
Phoenix,AZ,2008,7,July_2008,7/31/2008,6.7
Phoenix,AZ,2008,8,August_2008,8/31/2008,7.3
Phoenix,AZ,2008,9,September_2008,9/30/2008,7.5
Phoenix,AZ,2008,10,October_2008,10/31/2008,7.5
Phoenix,AZ,2008,11,November_2008,11/30/2008,7.8
Phoenix,AZ,2008,12,December_2008,12/31/2008,8.3
Phoenix,AZ,2009,1,January_2009,1/31/2009,9.1
Phoenix,AZ,2009,2,February_2009,2/28/2009,9.3
Phoenix,AZ,2009,3,March_2009,3/31/2009,9.7
Phoenix,AZ,2009,4,April_2009,4/30/2009,9.5
Phoenix,AZ,2009,5,May_2009,5/31/2009,9.9
Phoenix,AZ,2009,6,June_2009,6/30/2009,10.9
Phoenix,AZ,2009,7,July_2009,7/31/2009,11.2
Phoenix,AZ,2009,8,August_2009,8/31/2009,11.7
Phoenix,AZ,2009,9,September_2009,9/30/2009,11.8
Phoenix,AZ,2009,10,October_2009,10/31/2009,11.8
Phoenix,AZ,2009,11,November_2009,11/30/2009,11.5
Phoenix,AZ,2009,12,December_2009,12/31/2009,11.5
Phoenix,AZ,2010,1,January_2010,1/31/2010,12
Phoenix,AZ,2010,2,February_2010,2/28/2010,11.6
Phoenix,AZ,2010,3,March_2010,3/31/2010,11.3
Phoenix,AZ,2010,4,April_2010,4/30/2010,10.9
Phoenix,AZ,2010,5,May_2010,5/31/2010,10.7
Phoenix,AZ,2010,6,June_2010,6/30/2010,11.2
Phoenix,AZ,2010,7,July_2010,7/31/2010,11.4
Phoenix,AZ,2010,8,August_2010,8/31/2010,11.4
Phoenix,AZ,2010,9,September_2010,9/30/2010,11.1
Phoenix,AZ,2010,10,October_2010,10/31/2010,10.7
Phoenix,AZ,2010,11,November_2010,11/30/2010,10.7
Phoenix,AZ,2010,12,December_2010,12/31/2010,10.3
Phoenix,AZ,2011,1,January_2011,1/31/2011,9.6
Phoenix,AZ,2011,2,February_2011,2/28/2011,9.1
Phoenix,AZ,2011,3,March_2011,3/31/2011,9
Phoenix,AZ,2011,4,April_2011,4/30/2011,8.7
Phoenix,AZ,2011,5,May_2011,5/31/2011,8.6
Phoenix,AZ,2011,6,June_2011,6/30/2011,9.9
Phoenix,AZ,2011,7,July_2011,7/31/2011,9.7
Phoenix,AZ,2011,8,August_2011,8/31/2011,9.6
Phoenix,AZ,2011,9,September_2011,9/30/2011,9.2
Phoenix,AZ,2011,10,October_2011,10/31/2011,8.8
Phoenix,AZ,2011,11,November_2011,11/30/2011,8.2
Phoenix,AZ,2011,12,December_2011,12/31/2011,8.2
Phoenix,AZ,2012,1,January_2012,1/31/2012,8.5
Phoenix,AZ,2012,2,February_2012,2/29/2012,8.1
Phoenix,AZ,2012,3,March_2012,3/31/2012,7.9
Phoenix,AZ,2012,4,April_2012,4/30/2012,7.6
Phoenix,AZ,2012,5,May_2012,5/31/2012,7.7
Phoenix,AZ,2012,6,June_2012,6/30/2012,8.2
Phoenix,AZ,2012,7,July_2012,7/31/2012,8.3
Phoenix,AZ,2012,8,August_2012,8/31/2012,8.2
Phoenix,AZ,2012,9,September_2012,9/30/2012,7.5
Phoenix,AZ,2012,10,October_2012,10/31/2012,7.3
Phoenix,AZ,2012,11,November_2012,11/30/2012,6.8
Phoenix,AZ,2012,12,December_2012,12/31/2012,6.9
Phoenix,AZ,2013,1,January_2013,1/31/2013,7.3
Phoenix,AZ,2013,2,February_2013,2/28/2013,6.8
Phoenix,AZ,2013,3,March_2013,3/31/2013,6.8
Phoenix,AZ,2013,4,April_2013,4/30/2013,6.5
Phoenix,AZ,2013,5,May_2013,5/31/2013,6.6
Phoenix,AZ,2013,6,June_2013,6/30/2013,7.1
Phoenix,AZ,2013,7,July_2013,7/31/2013,7.2
Phoenix,AZ,2013,8,August_2013,8/31/2013,7.4
Phoenix,AZ,2013,9,September_2013,9/30/2013,7
Phoenix,AZ,2013,10,October_2013,10/31/2013,6.8
Phoenix,AZ,2013,11,November_2013,11/30/2013,6.3
Phoenix,AZ,2013,12,December_2013,12/31/2013,6.2
Phoenix,AZ,2014,1,January_2014,1/31/2014,6.5
Phoenix,AZ,2014,2,February_2014,2/28/2014,6.2
Phoenix,AZ,2014,3,March_2014,3/31/2014,6.3
Phoenix,AZ,2014,4,April_2014,4/30/2014,5.6
Phoenix,AZ,2014,5,May_2014,5/31/2014,5.9
Phoenix,AZ,2014,6,June_2014,6/30/2014,6.3
Phoenix,AZ,2014,7,July_2014,7/31/2014,6.4
Phoenix,AZ,2014,8,August_2014,8/31/2014,6.5
Phoenix,AZ,2014,9,September_2014,9/30/2014,6.1
Phoenix,AZ,2014,10,October_2014,10/31/2014,5.9
